AP18_Rnk,PS18_Rnk,KP18_Rank,TeamID,TS18_Team,KP18_Conference,TS18_GP,STA18_W,STA18_L,STA18_Pct,STA18_Strk,STA18_Conf_W,STA18_Conf_L,STA18_Conf_Pct,STA18_Home_W,STA18_Home_L,STA18_Away_W,STA18_Away_L,STA18_Neutral_W,STA18_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA18_Conf_PA,STA18_Conf_PPG,STA18_Conf_PAPG,STA18_PF,STA18_PA,STA18_PPG,STA18_PAPG,TS18_FGM,TS18_FGA,TS18_FG%,TS18_3PM,TS18_3PA,TS18_3P%,TS18_FTM,TS18_FTA,TS18_FT%,KP18_Ajusted Efficiency Margin,KP18_Adjusted Offensive Efficiency,KP18_AOE Rk,KP18_Adjusted Defensive Efficiency,KP18_ADE Rk,KP18_Adjusted Tempo,KP18_AT Rk,KP18_Luck,KP18_Luck Rk,KP18_Strength of Schedule,KP_SOS Rk,KP18_Non-Conference Strength of Schedule,KP18_NCSOS Rk,KP18_Average Opponents Offensive Efficiency,KP18_AOOE Rk,KP18_Average Opponents Defensive Efficiency,KP18_AODE Rk,Team,Seed,Opponent,OppSeed,PF**,PA,WL,OppTeamID,Opp_AP18_Rnk,Opp_PS18_Rnk,Opp_KP18_Rank,Opp_TeamID,Opp_TS18_Team,Opp_KP18_Conference,Opp_TS18_GP,Opp_STA18_W,Opp_STA18_L,Opp_STA18_Pct,Opp_STA18_Strk,Opp_STA18_Conf_W,Opp_STA18_Conf_L,Opp_STA18_Conf_Pct,Opp_STA18_Home_W,Opp_STA18_Home_L,Opp_STA18_Away_W,Opp_STA18_Away_L,Opp_STA18_Neutral_W,Opp_STA18_Neutral_L,Opp_STA18_Top25_W,Opp_STA18_Top25_L,Opp_STA18_Conf_PF,Opp_STA18_Conf_PA,Opp_STA18_Conf_PPG,Opp_STA18_Conf_PAPG,Opp_STA18_PF,Opp_STA18_PA,Opp_STA18_PPG,Opp_STA18_PAPG,Opp_TS18_FGM,Opp_TS18_FGA,Opp_TS18_FG%,Opp_TS18_3PM,Opp_TS18_3PA,Opp_TS18_3P%,Opp_TS18_FTM,Opp_TS18_FTA,Opp_TS18_FT%,Opp_KP18_Ajusted Efficiency Margin,Opp_KP18_Adjusted Offensive Efficiency,Opp_KP18 AOW Rk,Opp_KP18_Adjusted Defensive Efficiency,Opp_KP18_ADE Rk,Opp_KP18_Adjusted Tempo,Opp_KP18_AT Rk,Opp_KP18_Luck,Opp_KP18_Luck_Rk,Opp_KP18_Strength of Schedule,Opp_KP18_SOS Rk,Opp_KP18_Non-Conference Strength of Schedule,Opp_KP18_NCSOS Rk,Opp_KP18_Average Opponents Offensive Efficiency,Opp_KP18_AOOE Rk,Opp_KP18_Average Opponents Defensive Efficiency,Opp_KP18_AODE Rk
,,52,227.0,Rhode Island,A10,31,26,8,0.765,L1,15,3,0.833,15,1,7,4,4,3,1,1,1379,1209,76.6111111111111,67.16666666666667,2583,2338,75.97058823529412,68.76470588235293,879,1904,0.462,210,600,0.35,413,580,0.7120000000000001,13.93,111.1,69,97.2,46,68.4,173,0.063,44,3.49,85,3.83,64,107.6,75,104.1,107,Rhode Island,7.0,Duke,2.0,62.0,87.0,L,27.0,9.0,1.0,3,27.0,Duke,ACC,33,29,8,0.784,L1,13,5,0.722,15,1,6,5,8,2,6,4,1421,1219,78.94444444444444,67.72222222222223,3121,2576,84.35135135135134,69.62162162162164,1008,2044,0.493,274,725,0.37799999999999995,505,713,0.708,28.86,122.4,3,93.6,9,69.7,93,-0.034,271,10.6,15,4.09,58,110.4,30,99.8,10
,,52,227.0,Rhode Island,A10,31,26,8,0.765,L1,15,3,0.833,15,1,7,4,4,3,1,1,1379,1209,76.6111111111111,67.16666666666667,2583,2338,75.97058823529412,68.76470588235293,879,1904,0.462,210,600,0.35,413,580,0.7120000000000001,13.93,111.1,69,97.2,46,68.4,173,0.063,44,3.49,85,3.83,64,107.6,75,104.1,107,Rhode Island,7.0,Oklahoma,10.0,83.0,78.0,W,251.0,,,48,251.0,Oklahoma,B12,31,18,14,0.563,L2,8,10,0.444,13,2,2,9,3,3,6,4,1461,1510,81.16666666666667,83.8888888888889,2718,2614,84.9375,81.6875,925,1993,0.46399999999999997,296,816,0.363,494,660,0.748,14.16,114.6,37,100.5,85,75.5,4,-0.008,198,11.68,5,2.13,96,111.3,11,99.6,6
10.0,9.0,8,281.0,North Carolina,ACC,35,26,11,0.703,L1,11,7,0.611,12,3,7,5,7,3,5,6,1452,1360,80.66666666666667,75.55555555555556,3018,2711,81.56756756756756,73.27027027027026,1048,2279,0.46,290,796,0.364,483,652,0.741,23.59,120.3,6,96.7,38,71.2,46,-0.011000000000000001,207,13.26,1,7.58,17,111.6,5,98.3,1,North Carolina,2.0,Lipscomb,15.0,84.0,66.0,W,139.0,,,167,139.0,Lipscomb,ASun,32,23,10,0.6970000000000001,L1,10,4,0.7140000000000001,13,2,10,7,0,1,0,3,1203,1142,85.92857142857143,81.57142857142857,2708,2564,82.06060606060606,77.6969696969697,901,1976,0.456,260,785,0.331,580,811,0.715,0.43,103.2,203,102.8,125,74.9,5,0.11199999999999999,7,-4.31,267,5.84,30,103.2,235,107.5,278
10.0,9.0,8,281.0,North Carolina,ACC,35,26,11,0.703,L1,11,7,0.611,12,3,7,5,7,3,5,6,1452,1360,80.66666666666667,75.55555555555556,3018,2711,81.56756756756756,73.27027027027026,1048,2279,0.46,290,796,0.364,483,652,0.741,23.59,120.3,6,96.7,38,71.2,46,-0.011000000000000001,207,13.26,1,7.58,17,111.6,5,98.3,1,North Carolina,2.0,Texas A&M,7.0,65.0,86.0,L,343.0,,25.0,29,343.0,Texas A&M,SEC,32,22,13,0.629,L1,9,9,0.5,13,3,4,7,5,3,5,4,1283,1311,71.27777777777777,72.83333333333333,2631,2467,75.17142857142858,70.48571428571428,887,1942,0.457,211,645,0.327,415,622,0.667,16.96,111.3,66,94.4,14,69.5,101,0.013999999999999999,140,11.69,4,5.12,37,111.8,2,100.1,15
9.0,1.0,3,27.0,Duke,ACC,33,29,8,0.784,L1,13,5,0.722,15,1,6,5,8,2,6,4,1421,1219,78.94444444444444,67.72222222222223,3121,2576,84.35135135135134,69.62162162162164,1008,2044,0.493,274,725,0.37799999999999995,505,713,0.708,28.86,122.4,3,93.6,9,69.7,93,-0.034,271,10.6,15,4.09,58,110.4,30,99.8,10,Duke,2.0,Kansas,1.0,81.0,85.0,L,169.0,4.0,4.0,9,169.0,Kansas,B12,34,31,8,0.795,L1,13,5,0.722,14,4,7,3,10,1,8,4,1396,1351,77.55555555555556,75.05555555555556,3174,2803,81.38461538461539,71.87179487179488,1024,2058,0.498,345,857,0.40299999999999997,378,540,0.7,23.49,120.9,5,97.4,47,68.8,144,0.076,23,12.41,2,3.55,70,111.7,3,99.3,3
9.0,1.0,3,27.0,Duke,ACC,33,29,8,0.784,L1,13,5,0.722,15,1,6,5,8,2,6,4,1421,1219,78.94444444444444,67.72222222222223,3121,2576,84.35135135135134,69.62162162162164,1008,2044,0.493,274,725,0.37799999999999995,505,713,0.708,28.86,122.4,3,93.6,9,69.7,93,-0.034,271,10.6,15,4.09,58,110.4,30,99.8,10,Duke,2.0,Iona,15.0,89.0,67.0,W,351.0,,,137,351.0,Iona,MAAC,33,20,14,0.588,L1,11,7,0.611,8,3,7,8,5,3,0,1,1503,1417,83.5,78.72222222222223,2702,2602,79.47058823529412,76.52941176470588,931,2017,0.462,319,822,0.38799999999999996,452,612,0.7390000000000001,2.63,110.0,80,107.3,218,70.7,58,-0.008,196,-2.12,195,2.14,95,103.1,240,105.2,151
9.0,1.0,3,27.0,Duke,ACC,33,29,8,0.784,L1,13,5,0.722,15,1,6,5,8,2,6,4,1421,1219,78.94444444444444,67.72222222222223,3121,2576,84.35135135135134,69.62162162162164,1008,2044,0.493,274,725,0.37799999999999995,505,713,0.708,28.86,122.4,3,93.6,9,69.7,93,-0.034,271,10.6,15,4.09,58,110.4,30,99.8,10,Duke,2.0,Rhode Island,7.0,87.0,62.0,W,227.0,,,52,227.0,Rhode Island,A10,31,26,8,0.765,L1,15,3,0.833,15,1,7,4,4,3,1,1,1379,1209,76.6111111111111,67.16666666666667,2583,2338,75.97058823529412,68.76470588235293,879,1904,0.462,210,600,0.35,413,580,0.7120000000000001,13.93,111.1,69,97.2,46,68.4,173,0.063,44,3.49,85,3.83,64,107.6,75,104.1,107
9.0,1.0,3,27.0,Duke,ACC,33,29,8,0.784,L1,13,5,0.722,15,1,6,5,8,2,6,4,1421,1219,78.94444444444444,67.72222222222223,3121,2576,84.35135135135134,69.62162162162164,1008,2044,0.493,274,725,0.37799999999999995,505,713,0.708,28.86,122.4,3,93.6,9,69.7,93,-0.034,271,10.6,15,4.09,58,110.4,30,99.8,10,Duke,2.0,Syracuse,11.0,69.0,65.0,W,155.0,,,41,155.0,Syracuse,ACC,33,23,14,0.622,L1,8,10,0.444,14,5,4,6,5,3,2,8,1161,1173,64.5,65.16666666666667,2466,2360,66.64864864864866,63.78378378378378,751,1796,0.418,193,600,0.322,534,721,0.741,14.82,107.0,135,92.2,5,62.9,345,0.021,119,9.81,27,-0.2,163,111.3,9,101.5,58
,,46,104.0,NC State,ACC,32,21,12,0.636,L2,11,7,0.611,16,3,4,5,1,4,5,3,1394,1382,77.44444444444444,76.77777777777777,2682,2477,81.27272727272727,75.06060606060606,937,1993,0.47,252,677,0.3720000000000001,473,676,0.7,14.52,116.3,21,101.8,109,71.4,38,-0.001,178,7.71,55,-9.71,342,108.6,62,100.9,39,North Carolina St.,9.0,Seton Hall,8.0,83.0,94.0,L,117.0,,23.0,26,117.0,Seton Hall,BE,32,22,12,0.647,L1,10,8,0.556,14,3,5,6,3,3,3,5,1407,1398,78.16666666666667,77.66666666666667,2701,2512,79.44117647058823,73.88235294117645,914,1951,0.46799999999999997,233,640,0.364,467,674,0.693,18.04,116.9,17,98.8,62,69.5,103,-0.027999999999999997,260,10.12,21,-0.0,157,110.5,27,100.4,24
,,33,182.0,Virginia Tech,ACC,32,21,12,0.636,L3,10,8,0.556,14,4,6,5,1,3,4,3,1299,1311,72.16666666666667,72.83333333333333,2634,2382,79.81818181818181,72.18181818181819,901,1811,0.498,280,727,0.385,469,661,0.71,16.03,115.3,28,99.3,70,68.7,147,-0.018000000000000002,229,7.91,53,-9.76,344,109.2,47,101.3,52,Virginia Tech,8.0,Alabama,9.0,83.0,86.0,L,65.0,,,57,65.0,Alabama,SEC,34,20,16,0.556,L1,8,10,0.444,12,5,2,8,6,3,6,3,1242,1226,69.0,68.1111111111111,2604,2543,72.33333333333333,70.6388888888889,860,1877,0.45799999999999996,217,669,0.324,523,778,0.672,13.41,108.7,106,95.2,20,68.7,151,0.017,130,11.17,8,2.54,84,110.9,19,99.7,7
