TS18_Team,TS18_GP,TS18_PTS,TS18_FG%,TS18_3P%,TS18_FT%,TS18_FGM,TS18_FGA,TS18_3PM,TS18_3PA,TS18_FTM,TS18_FTA,TeamID
Purdue Fort Wayne,32,2627,0.457,0.368,0.718,920,2013,328,892,459,639,91
Oregon,34,2626,0.452,0.35200000000000004,0.764,924,2045,306,869,472,618,47
Bethune-Cookman,32,2622,0.44299999999999995,0.318,0.701,903,2039,241,759,575,820,133
UCLA,32,2621,0.461,0.38299999999999995,0.722,906,1964,300,783,509,705,238
USC,34,2620,0.469,0.374,0.722,953,2034,276,737,438,607,152
Furman,33,2619,0.47,0.35600000000000004,0.713,942,2006,338,950,397,557,8
Boston College,34,2611,0.452,0.36200000000000004,0.7390000000000001,923,2040,294,812,471,637,305
Butler,33,2611,0.47200000000000003,0.35600000000000004,0.7709999999999999,964,2041,270,759,413,536,167
Michigan,35,2606,0.47100000000000003,0.369,0.659,943,2003,320,868,400,607,160
NC State,32,2599,0.47,0.37200000000000005,0.7,937,1993,252,677,473,676,104
Marquette,32,2598,0.474,0.415,0.7959999999999999,906,1913,354,853,432,543,33
UTSA,33,2595,0.436,0.36200000000000004,0.685,920,2110,335,926,420,613,30
Arizona State,31,2589,0.46399999999999997,0.364,0.738,867,1868,277,761,578,783,235
Oakland,33,2580,0.45,0.35200000000000004,0.77,884,1966,275,782,537,697,216
UT Arlington,33,2579,0.456,0.366,0.685,910,1997,290,793,469,685,123
Montana,33,2578,0.47100000000000003,0.34299999999999997,0.706,926,1965,183,534,543,769,304
Central Michigan,33,2572,0.43200000000000005,0.336,0.805,861,1995,312,928,538,668,68
North Carolina A&T,34,2571,0.46399999999999997,0.3,0.713,909,1959,207,690,546,766,178
Belmont,33,2562,0.486,0.376,0.7390000000000001,901,1853,378,1005,382,517,13
Prairie View A&M,34,2559,0.436,0.32799999999999996,0.6709999999999999,890,2043,247,752,532,793,267
East Tennessee State,34,2556,0.473,0.34299999999999997,0.71,926,1957,244,711,460,648,44
Eastern Washington,34,2554,0.46799999999999997,0.381,0.765,911,1947,305,801,427,558,138
Notre Dame,34,2551,0.446,0.366,0.7559999999999999,889,1992,289,789,484,640,196
Virginia Tech,32,2551,0.498,0.385,0.71,901,1811,280,727,469,661,182
UNC Wilmington,32,2542,0.436,0.34600000000000003,0.69,920,2109,244,705,458,664,87
Saint Mary's,33,2540,0.514,0.40399999999999997,0.775,925,1799,255,631,435,561,18
Penn State,34,2537,0.46,0.384,0.696,925,2009,252,657,435,625,77
UAB,33,2536,0.488,0.345,0.75,945,1937,223,646,423,564,250
Florida State,31,2535,0.474,0.35100000000000003,0.685,906,1912,248,706,473,691,193
Rider,31,2534,0.465,0.361,0.607,897,1928,237,656,503,828,233
Kentucky,33,2532,0.469,0.358,0.693,895,1908,178,497,564,814,190
Seton Hall,32,2528,0.46799999999999997,0.364,0.693,914,1951,233,640,467,674,117
Vermont,34,2523,0.489,0.405,0.753,852,1744,258,637,561,745,168
Oklahoma State,33,2522,0.43700000000000006,0.34600000000000003,0.762,885,2023,271,783,481,631,313
Appalachian State,33,2520,0.435,0.34,0.6679999999999999,864,1984,292,860,500,749,188
BYU,34,2517,0.484,0.35200000000000004,0.753,885,1829,219,622,528,701,6
Green Bay,33,2517,0.424,0.363,0.752,859,2027,295,813,504,670,4
Detroit Mercy,32,2516,0.435,0.345,0.755,883,2031,281,815,469,621,102
Louisville,33,2515,0.455,0.37,0.737,897,1971,256,691,465,631,134
UMBC,34,2513,0.445,0.387,0.649,886,1993,346,894,395,609,162
VCU,33,2507,0.45799999999999996,0.35200000000000004,0.691,921,2013,274,778,391,566,187
Fairfield,33,2506,0.439,0.33899999999999997,0.71,881,2009,303,893,441,621,331
Providence,34,2506,0.442,0.33299999999999996,0.703,872,1975,217,651,545,775,125
Stanford,33,2504,0.46399999999999997,0.375,0.688,871,1878,223,595,539,784,241
New Mexico State,33,2504,0.46,0.33299999999999996,0.643,939,2042,249,748,377,586,119
Georgia Southern,33,2504,0.43,0.341,0.6629999999999999,857,1992,267,784,523,789,53
Houston,32,2500,0.469,0.389,0.7140000000000001,891,1898,278,714,440,616,130
Seattle,33,2499,0.446,0.369,0.743,848,1903,300,813,503,677,39
UNC Greensboro,34,2498,0.446,0.358,0.701,896,2009,328,917,378,539,79
Utah Valley,32,2497,0.48100000000000004,0.38299999999999995,0.737,869,1806,252,658,507,688,101
St. Bonaventure,32,2493,0.456,0.39799999999999996,0.754,844,1851,248,623,557,739,261
Utah State,34,2489,0.45399999999999996,0.364,0.705,865,1904,317,870,442,627,7
Georgia State,33,2487,0.46299999999999997,0.386,0.672,891,1924,307,795,398,592,24
Long Beach State,33,2485,0.452,0.35100000000000003,0.728,866,1917,196,559,557,765,124
Wofford,33,2484,0.47,0.41,0.782,867,1843,342,834,408,522,103
Samford,32,2483,0.47200000000000003,0.374,0.764,870,1845,289,773,454,594,23
Texas Tech,33,2483,0.46399999999999997,0.366,0.701,863,1860,232,634,525,749,242
Kent State,34,2482,0.425,0.326,0.728,871,2049,255,782,485,666,34
San Diego State,32,2480,0.461,0.33899999999999997,0.721,882,1913,235,693,481,667,66
Charleston,33,2478,0.46,0.364,0.759,852,1853,254,698,520,685,136
Cincinnati,33,2476,0.45299999999999996,0.358,0.688,873,1926,244,681,486,706,166
Troy,33,2475,0.439,0.337,0.736,848,1930,292,866,487,662,83
North Carolina Central,34,2474,0.466,0.33899999999999997,0.687,928,1991,212,626,406,591,266
Northeastern,33,2472,0.484,0.376,0.733,859,1776,302,804,452,617,88
Louisiana Tech,33,2468,0.446,0.375,0.725,838,1877,287,765,505,697,115
Hofstra,31,2464,0.465,0.375,0.682,868,1868,260,693,468,686,19
Winthrop,31,2464,0.47600000000000003,0.374,0.722,859,1803,296,792,450,623,10
Alabama,34,2460,0.45799999999999996,0.324,0.672,860,1877,217,669,523,778,65
Fresno State,32,2459,0.49,0.39399999999999996,0.6940000000000001,885,1805,216,548,473,682,252
UNC Asheville,33,2459,0.475,0.391,0.74,877,1846,263,672,442,597,144
Drexel,33,2454,0.441,0.325,0.723,880,1994,227,699,467,646,100
Wright State,34,2453,0.436,0.342,0.7170000000000001,854,1959,233,682,512,714,3
Howard,33,2449,0.424,0.34700000000000003,0.708,847,1997,268,772,487,688,175
Murray State,31,2447,0.485,0.379,0.73,849,1752,264,696,485,664,72
Towson,32,2446,0.467,0.361,0.687,889,1905,210,582,458,667,145
Canisius,32,2441,0.467,0.35100000000000003,0.7120000000000001,878,1881,297,845,388,545,215
UC Irvine,35,2440,0.43700000000000006,0.335,0.708,900,2061,220,657,420,593,85
Grand Canyon,33,2439,0.428,0.324,0.703,827,1931,244,753,541,770,254
Florida,32,2434,0.434,0.375,0.7190000000000001,841,1937,292,778,460,640,219
Montana State,32,2434,0.424,0.35200000000000004,0.728,817,1929,257,731,543,746,265
Weber State,31,2434,0.491,0.41700000000000004,0.7659999999999999,846,1722,280,672,462,603,218
Mississippi State,33,2433,0.466,0.311,0.687,896,1924,226,726,415,604,230
Lamar,32,2431,0.43200000000000005,0.34299999999999997,0.66,847,1959,249,725,488,739,128
Bowling Green,32,2429,0.42100000000000004,0.349,0.732,827,1963,241,690,534,730,122
Boise State,31,2428,0.465,0.384,0.7390000000000001,855,1838,299,779,419,567,36
Northern Kentucky,31,2428,0.479,0.348,0.733,876,1828,253,728,423,577,41
North Dakota,32,2427,0.45899999999999996,0.34,0.706,863,1879,233,685,468,663,21
Ole Miss,32,2426,0.42100000000000004,0.319,0.73,841,1999,251,788,493,675,306
Ohio State,32,2426,0.485,0.353,0.726,894,1842,216,612,422,581,163
Illinois,32,2426,0.439,0.335,0.732,856,1949,236,705,478,653,107
UC Santa Barbara,32,2425,0.46399999999999997,0.381,0.6970000000000001,877,1891,257,674,414,594,183
South Carolina Upstate,32,2424,0.431,0.345,0.726,881,2045,328,952,334,460,192
Liberty,34,2421,0.46399999999999997,0.374,0.792,826,1779,275,736,494,624,198
Southern Utah,32,2416,0.43700000000000006,0.358,0.738,824,1887,253,706,515,698,278
UT Rio Grande Valley,32,2416,0.402,0.307,0.738,807,2006,198,645,604,818,259
Mercer,32,2416,0.47700000000000004,0.38799999999999996,0.7559999999999999,827,1734,273,703,489,647,95
Baylor,32,2414,0.466,0.354,0.74,880,1889,204,576,448,605,298
Tennessee Tech,33,2413,0.439,0.34700000000000003,0.68,844,1924,242,697,483,710,269
Stetson,32,2412,0.442,0.344,0.672,907,2053,250,726,348,518,207
St. John's,33,2412,0.434,0.32899999999999996,0.741,867,1999,232,706,446,602,59
Ball State,32,2410,0.452,0.337,0.705,856,1895,245,727,453,643,260
Youngstown St,32,2410,0.42700000000000005,0.33,0.636,902,2111,235,712,371,583,70
Memphis,34,2408,0.452,0.317,0.69,828,1832,201,634,551,798,211
Minnesota,32,2405,0.431,0.34600000000000003,0.7040000000000001,850,1971,218,630,487,692,181
Jacksonville,33,2405,0.45,0.336,0.6579999999999999,897,1993,202,601,409,622,177
LSU,31,2404,0.475,0.353,0.732,861,1812,256,726,426,582,109
UIC,32,2403,0.45,0.344,0.727,843,1874,211,613,506,696,142
Cleveland State,35,2402,0.434,0.341,0.703,853,1965,294,863,402,572,228
Western Michigan,32,2402,0.439,0.344,0.727,845,1926,233,678,479,659,332
Southern Miss,34,2401,0.445,0.33899999999999997,0.703,872,1958,254,749,403,573,206
Texas A&M,32,2400,0.457,0.327,0.667,887,1942,211,645,415,622,343
Norfolk State,33,2399,0.431,0.359,0.6709999999999999,858,1992,254,707,429,639,246
SE Louisiana,33,2394,0.457,0.36,0.6559999999999999,848,1857,249,692,449,684,287
Loyola Chicago,33,2390,0.507,0.39799999999999996,0.7240000000000001,869,1714,246,618,406,561,157
St. Francis (PA),30,2389,0.47100000000000003,0.37200000000000005,0.764,840,1783,243,654,466,610,80
Wagner,32,2389,0.43200000000000005,0.35600000000000004,0.71,818,1892,263,739,490,690,292
Davidson,31,2388,0.486,0.39299999999999996,0.794,856,1763,336,856,340,428,280
Kansas State,33,2388,0.47200000000000003,0.344,0.743,854,1811,229,666,451,607,323
Houston Baptist,31,2382,0.418,0.32299999999999995,0.624,860,2058,219,677,443,710,248
North Dakota State,32,2382,0.469,0.37799999999999995,0.7609999999999999,837,1783,294,778,414,544,96
Rhode Island,31,2381,0.462,0.35,0.7120000000000001,879,1904,210,600,413,580,227
Pennsylvania,31,2378,0.46,0.34700000000000003,0.6629999999999999,847,1840,272,783,412,621,335
Washington,32,2377,0.455,0.341,0.7040000000000001,841,1848,213,624,482,685,143
Tennessee,32,2377,0.441,0.384,0.755,810,1835,249,648,508,673,318
Albany,32,2375,0.457,0.36700000000000005,0.754,839,1836,184,502,513,680,164
UMass,33,2374,0.449,0.4,0.746,861,1918,293,732,359,481,231
Omaha,31,2373,0.45799999999999996,0.366,0.706,877,1913,254,694,365,517,46
George Mason,33,2371,0.43200000000000005,0.326,0.742,841,1949,230,705,459,619,236
Saint Joseph's,32,2371,0.423,0.337,0.687,826,1953,255,757,464,675,223
Arkansas St,32,2369,0.44,0.34,0.718,841,1911,236,695,451,628,75
Texas,33,2367,0.43799999999999994,0.315,0.6679999999999999,851,1943,234,742,431,645,320
Eastern Michigan,33,2364,0.467,0.33399999999999996,0.6940000000000001,874,1872,213,637,403,581,301
Illinois State,33,2364,0.424,0.341,0.6829999999999999,813,1917,301,883,437,640,286
Quinnipiac,33,2364,0.42200000000000004,0.33899999999999997,0.706,787,1864,303,893,487,690,316
Miami (OH),33,2362,0.43799999999999994,0.33799999999999997,0.6829999999999999,853,1946,288,852,368,539,204
Jacksonville State,33,2359,0.46,0.327,0.6940000000000001,879,1910,191,584,410,591,89
SE Missouri St,31,2355,0.46,0.392,0.7290000000000001,796,1729,289,738,474,650,239
South Carolina State,32,2355,0.426,0.33399999999999996,0.6970000000000001,829,1948,205,614,492,706,314
Drake,32,2354,0.439,0.37,0.7709999999999999,812,1848,278,752,452,586,137
Austin Peay,32,2351,0.45399999999999996,0.349,0.654,852,1876,193,553,454,694,31
Campbell,31,2351,0.47600000000000003,0.385,0.7440000000000001,813,1708,283,735,442,594,151
Georgetown,30,2350,0.45399999999999996,0.366,0.775,800,1763,226,618,524,676,35
Old Dominion,32,2347,0.447,0.35700000000000004,0.6920000000000001,844,1888,228,639,431,623,275
Elon,32,2346,0.439,0.349,0.711,842,1916,337,966,325,457,127
Sam Houston State,33,2346,0.42700000000000005,0.336,0.713,824,1930,236,703,462,648,16
Missouri,32,2345,0.45299999999999996,0.385,0.736,778,1716,298,775,491,667,315
Clemson,32,2345,0.45299999999999996,0.366,0.757,809,1786,266,726,461,609,299
Florida A&M,34,2343,0.419,0.35200000000000004,0.7240000000000001,831,1981,217,616,464,641,340
James Madison,32,2341,0.42,0.332,0.7290000000000001,812,1933,231,695,486,667,146
Oregon State,32,2339,0.467,0.32899999999999996,0.708,830,1779,192,583,487,688,116
Delaware,33,2338,0.457,0.32899999999999996,0.6509999999999999,859,1880,192,584,428,657,42
Maryland,32,2338,0.478,0.371,0.755,811,1696,229,617,487,645,194
Lehigh,30,2336,0.45299999999999996,0.406,0.777,835,1845,293,721,373,480,240
Monmouth,31,2336,0.45799999999999996,0.389,0.711,787,1718,223,574,539,758,295
Ohio,31,2334,0.44299999999999995,0.369,0.7120000000000001,839,1893,244,661,412,579,205
North Texas,32,2333,0.447,0.35100000000000003,0.6459999999999999,840,1881,250,712,403,624,62
La Salle,32,2333,0.429,0.33,0.787,817,1905,234,710,465,591,297
Oral Roberts,32,2332,0.43700000000000006,0.34299999999999997,0.685,879,2011,220,642,354,517,57
Mt. St. Mary's,32,2331,0.455,0.379,0.733,809,1778,323,853,390,532,310
Idaho,31,2330,0.46799999999999997,0.408,0.735,819,1749,277,679,415,565,325
Nebraska,32,2327,0.433,0.349,0.7170000000000001,797,1841,226,648,507,707,176
UC Davis,32,2327,0.46799999999999997,0.375,0.715,811,1734,208,555,497,695,114
Colgate,32,2326,0.441,0.36200000000000004,0.769,809,1834,299,827,409,532,64
Middle Tennessee,31,2320,0.465,0.369,0.742,838,1803,226,612,418,563,112
Northern Illinois,32,2319,0.456,0.33,0.726,849,1861,169,512,452,623,258
Duquesne,32,2317,0.42700000000000005,0.35,0.685,801,1874,261,745,454,663,262
Vanderbilt,32,2316,0.43700000000000006,0.353,0.743,775,1775,289,819,477,642,229
Colorado State,32,2314,0.418,0.32899999999999996,0.7170000000000001,811,1941,225,684,467,651,22
Fairleigh Dickinson,31,2313,0.451,0.342,0.726,842,1868,213,623,416,573,279
South Carolina,33,2313,0.39799999999999996,0.33899999999999997,0.7,756,1899,240,708,561,801,288
Missouri State,33,2313,0.436,0.331,0.715,851,1953,234,707,377,527,213
Yale,31,2312,0.46299999999999997,0.332,0.722,831,1796,252,759,398,551,189
Morgan State,32,2311,0.41600000000000004,0.331,0.723,799,1921,163,492,550,761,54
Southern Illinois,33,2308,0.462,0.35600000000000004,0.696,839,1817,215,604,415,596,290
Colorado,32,2307,0.44,0.359,0.7290000000000001,810,1839,241,672,446,612,184
Arkansas-Pine Bluff,35,2307,0.43700000000000006,0.32899999999999996,0.675,815,1863,217,660,460,681,353
Miami,31,2299,0.46399999999999997,0.363,0.6629999999999999,850,1832,243,669,354,534,256
Coastal Carolina,32,2298,0.434,0.33,0.721,787,1813,218,660,506,702,25
Richmond,32,2297,0.461,0.33399999999999996,0.715,843,1830,222,664,389,544,106
Akron,32,2296,0.435,0.358,0.696,793,1825,305,851,405,582,159
SMU,33,2293,0.444,0.379,0.6859999999999999,814,1835,281,741,384,560,170
Radford,34,2290,0.426,0.35,0.723,802,1882,263,752,423,585,237
Chattanooga,33,2289,0.435,0.355,0.711,784,1804,276,777,445,626,111
Abilene Christian,31,2286,0.469,0.331,0.7,838,1787,207,625,403,576,173
UMass Lowell,30,2286,0.46,0.34600000000000003,0.7090000000000001,791,1719,215,621,489,690,52
Pepperdine,32,2283,0.449,0.34299999999999997,0.701,822,1829,186,542,453,646,45
Pacific,32,2280,0.451,0.32899999999999996,0.7290000000000001,804,1782,151,459,521,715,32
Southern,33,2279,0.40299999999999997,0.33799999999999997,0.6809999999999999,781,1937,177,524,540,793,264
Tulsa,31,2277,0.436,0.348,0.725,754,1730,247,710,522,720,210
Wake Forest,31,2273,0.439,0.374,0.738,801,1826,241,644,430,583,247
Robert Morris,33,2272,0.41100000000000003,0.332,0.667,794,1932,242,729,442,663,165
Washington State,31,2270,0.446,0.377,0.736,801,1795,341,905,327,444,118
CSU Fullerton,31,2270,0.47,0.33799999999999997,0.7340000000000001,786,1671,163,482,535,729,255
Tulane,31,2269,0.45,0.35,0.713,800,1779,232,663,437,613,284
San Francisco,33,2266,0.424,0.335,0.685,807,1903,272,812,380,555,15
Florida International,32,2262,0.426,0.322,0.609,815,1912,203,631,429,704,14
St. Francis (BKN),31,2260,0.415,0.34600000000000003,0.7120000000000001,784,1889,271,783,421,591,217
Milwaukee,33,2259,0.446,0.33399999999999996,0.674,834,1872,235,704,356,528,84
Iowa State,31,2258,0.43700000000000006,0.358,0.7,817,1870,234,653,390,557,180
Gardner-Webb,32,2258,0.444,0.349,0.7190000000000001,822,1850,236,676,378,526,289
Grambling,31,2257,0.42,0.32799999999999996,0.711,777,1852,154,470,547,769,153
Hartford,32,2254,0.45299999999999996,0.342,0.6759999999999999,809,1784,261,763,375,555,221
Valparaiso,32,2252,0.449,0.342,0.708,781,1740,213,623,477,674,76
UMKC,32,2251,0.40700000000000003,0.336,0.711,756,1859,284,845,455,640,149
Temple,32,2251,0.425,0.353,0.691,821,1932,267,756,342,495,302
Indiana State,31,2248,0.42200000000000004,0.36,0.705,762,1804,270,749,454,644,270
NJIT,30,2248,0.44799999999999995,0.361,0.684,808,1803,236,653,396,579,303
Georgia,33,2247,0.42,0.318,0.6990000000000001,767,1825,201,632,512,732,156
Alcorn State,32,2244,0.434,0.34299999999999997,0.7070000000000001,791,1824,239,697,423,598,209
Dayton,31,2244,0.48100000000000004,0.337,0.731,804,1671,248,736,388,531,26
Marist,31,2239,0.445,0.349,0.7140000000000001,761,1710,280,802,437,612,339
Charleston Southern,31,2232,0.447,0.33,0.723,802,1793,208,631,420,581,234
DePaul,31,2230,0.428,0.31,0.708,819,1914,194,626,398,562,126
Army,30,2230,0.444,0.38299999999999995,0.6579999999999999,820,1845,295,771,295,448,268
Eastern Kentucky,31,2230,0.43700000000000006,0.354,0.747,778,1779,226,638,448,600,74
Indiana,31,2229,0.456,0.322,0.657,806,1767,194,602,423,644,132
Syracuse,33,2229,0.418,0.322,0.741,751,1796,193,600,534,721,155
Virginia,33,2229,0.461,0.39,0.758,825,1788,243,623,336,443,349
South Alabama,32,2228,0.42100000000000004,0.32299999999999995,0.7,752,1785,252,779,472,674,61
Loyola Marymount,31,2227,0.44299999999999995,0.348,0.71,803,1813,200,574,421,593,225
George Washington,33,2225,0.447,0.321,0.7090000000000001,832,1861,180,561,381,537,282
Bradley,33,2223,0.43,0.354,0.7070000000000001,768,1788,217,613,470,665,90
Portland,32,2221,0.44799999999999995,0.38299999999999995,0.6779999999999999,781,1745,255,665,404,596,120
Rutgers,34,2216,0.406,0.29,0.644,830,2042,145,500,409,635,197
Idaho State,30,2211,0.475,0.396,0.6779999999999999,778,1639,252,637,403,594,334
Lafayette,31,2207,0.455,0.371,0.769,777,1709,263,708,390,507,243
Wisconsin,33,2206,0.44799999999999995,0.335,0.6990000000000001,793,1770,216,644,404,578,222
Utah,30,2205,0.456,0.366,0.76,748,1639,274,748,435,572,201
Stony Brook,32,2205,0.41700000000000004,0.32899999999999996,0.657,779,1866,249,757,398,606,67
Northwestern,32,2203,0.426,0.354,0.747,773,1813,255,720,402,538,317
Navy,32,2199,0.444,0.331,0.7190000000000001,771,1737,206,622,451,627,329
Denver,30,2192,0.473,0.4,0.6940000000000001,803,1699,211,527,375,540,141
Texas State,33,2190,0.434,0.33,0.6609999999999999,773,1782,214,648,430,651,99
Western Carolina,32,2190,0.41100000000000003,0.33299999999999996,0.6829999999999999,774,1885,234,703,408,597,93
Boston Univ.,31,2186,0.462,0.373,0.639,800,1730,229,614,357,559,135
Kennesaw State,30,2182,0.455,0.365,0.69,805,1771,160,438,412,597,337
UConn,32,2181,0.41600000000000004,0.326,0.745,762,1832,215,659,442,593,271
Central Connecticut,32,2171,0.45299999999999996,0.32899999999999996,0.6990000000000001,788,1740,198,601,397,568,283
Chicago State,32,2171,0.408,0.308,0.7240000000000001,774,1898,169,549,454,627,147
Saint Louis,33,2170,0.42200000000000004,0.32299999999999995,0.652,731,1734,185,573,523,802,186
UL Monroe,31,2169,0.434,0.363,0.718,786,1809,282,776,315,439,327
Bryant,31,2169,0.41,0.34299999999999997,0.705,771,1881,259,755,368,522,179
California,32,2166,0.406,0.28600000000000003,0.675,767,1887,148,518,484,717,328
Siena,32,2166,0.42,0.36700000000000005,0.6779999999999999,752,1790,220,600,442,652,307
Sacramento State,32,2157,0.444,0.354,0.684,800,1802,202,570,355,519,341
San Diego,31,2155,0.445,0.35700000000000004,0.7120000000000001,718,1613,259,726,460,646,140
Florida Atlantic,31,2155,0.41,0.325,0.7390000000000001,790,1929,179,551,396,536,108
Loyola (MD),31,2154,0.43799999999999994,0.32,0.653,797,1820,163,509,397,608,110
New Orleans,31,2151,0.451,0.353,0.679,758,1681,147,417,488,719,105
Binghamton,31,2147,0.44299999999999995,0.35,0.64,787,1775,235,671,338,528,214
Manhattan,31,2147,0.444,0.4,0.6940000000000001,737,1661,239,598,434,625,347
Maine,32,2140,0.408,0.302,0.6890000000000001,765,1873,225,745,385,559,300
UT Martin,31,2135,0.447,0.32299999999999995,0.725,808,1806,210,650,309,426,171
Alabama State,31,2129,0.409,0.32799999999999996,0.6459999999999999,751,1838,209,638,418,647,336
Sacred Heart,31,2129,0.43700000000000006,0.299,0.6629999999999999,796,1823,179,599,358,540,63
High Point,30,2126,0.45799999999999996,0.35700000000000004,0.7020000000000001,775,1691,163,456,413,588,253
Cornell,28,2124,0.461,0.34,0.73,744,1613,217,639,419,574,352
Air Force,31,2124,0.419,0.331,0.7340000000000001,733,1751,250,755,408,556,60
Presbyterian,32,2124,0.426,0.358,0.6859999999999999,749,1760,276,772,350,510,224
Rice,31,2114,0.406,0.318,0.669,711,1751,260,818,432,646,55
Princeton,29,2106,0.45299999999999996,0.374,0.7070000000000001,753,1661,287,767,313,443,348
Hawai'i,30,2104,0.442,0.33,0.687,721,1630,202,613,460,670,272
New Hampshire,31,2103,0.402,0.325,0.737,725,1803,252,776,401,544,277
Georgia Tech,32,2101,0.425,0.318,0.713,753,1770,156,490,439,616,263
Northern Arizona,32,2100,0.39899999999999997,0.305,0.701,698,1750,178,584,526,750,326
McNeese,28,2099,0.434,0.348,0.706,748,1724,202,581,401,568,49
Evansville,32,2094,0.442,0.41100000000000003,0.775,731,1652,184,448,448,578,161
UTEP,31,2094,0.434,0.336,0.6679999999999999,754,1736,224,667,362,542,172
SIU-Edwardsville,30,2090,0.41700000000000004,0.324,0.7070000000000001,734,1759,212,654,410,580,212
Longwood,33,2088,0.413,0.32799999999999996,0.687,728,1763,226,690,406,591,199
Saint Peter's,32,2085,0.42,0.337,0.726,741,1765,253,750,350,482,344
Cal Poly,31,2082,0.397,0.358,0.78,721,1817,267,746,373,478,330
Brown,27,2080,0.426,0.316,0.7559999999999999,695,1631,186,588,504,667,346
Mississippi Valley State,32,2075,0.38299999999999995,0.301,0.675,758,1979,171,568,388,575,345
Charlotte,29,2066,0.43200000000000005,0.35200000000000004,0.716,706,1634,198,563,456,637,312
Eastern Illinois,31,2065,0.424,0.35700000000000004,0.684,732,1726,224,627,377,551,97
Columbia,27,2062,0.442,0.36700000000000005,0.74,746,1686,269,733,301,407,324
Harvard,30,2057,0.431,0.35200000000000004,0.778,719,1667,243,691,376,483,321
