Team,Seed,Opponent,OppSeed,PF,PA,WL,TeamID,OppTeamID
Nevada,7,Loyola (IL),11,68,69,L,69,157
Kansas,1,Clemson,5,80,76,W,169,299
Villanova,1,West Virginia,5,90,78,W,208,232
Duke,2,Syracuse,11,69,65,W,27,155
Purdue,2,Texas Tech,3,65,78,L,203,242
Michigan,3,Florida St.,9,58,54,W,160,183
Kansas St.,9,Loyola (IL),11,62,78,L,323,157
Villanova,1,Texas Tech,3,71,59,W,208,242
Kansas,1,Duke,2,85,81,W,169,27
Villanova,1,Kansas,1,95,79,W,208,169
Michigan,3,Loyola (IL),11,69,57,W,160,157
Villanova,1,Michigan,3,79,62,W,208,160
