AP20_Rnk,PS20_Rnk,KP20_Rank,TeamID,TS20_Team,KP20_Conference,TS20_GP,STA20_W,STA20_L,STA20_Pct,STA20_Strk,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,STA20_Conf_PF,STA20_Conf_PA,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PF,STA20_PA,STA20_PPG,STA20_PAPG,TS20_FGM,TS20_FGA,TS20_FG%,TS20_3PM,TS20_3PA,TS20_3P%,TS20_FTM,TS20_FTA,TS20_FT%,KP20_Ajusted Efficiency Margin,KP20_Adjusted Offensive Efficiency,KP20_AOE Rk,KP20_Adjusted Defensive Efficiency,KP20_ADE Rk,KP20_Adjusted Tempo,KP20_AT Rk,KP20_Luck,KP20_Luck Rk,KP20_Strength of Schedule,KP20_SOS Rk,KP20_Non-Conference Strength of Schedule,KP20_NCSOS Rk,KP20_Average Opponents Offensive Efficiency,KP20_AOOE Rk,KP20_Average Opponents Defensive Efficiency,KP20_AODE Rk,Team,Seed
,,36.0,251,Oklahoma,B12,31,19,12,0.613,W1,9,9,0.5,12,3,4,8,3,1,3,4,0,0,0.0,0.0,2177,2089,70.2258064516129,67.38709677419354,760,1808,0.42,224,704,0.318,433,565,0.7659999999999999,15.7,108.8,58.0,93.1,29.0,69.6,98.0,0.031,103.0,12.22,5.0,5.86,30.0,107.5,24.0,95.3,3.0,Oklahoma,9.0
5.0,5.0,3.0,298,Baylor,B12,30,26,4,0.867,L1,15,3,0.833,14,1,9,2,3,1,6,1,0,0,0.0,0.0,2134,1804,71.13333333333334,60.13333333333333,763,1778,0.429,230,656,0.35100000000000003,378,548,0.69,25.49,113.5,17.0,88.1,4.0,66.2,277.0,0.016,144.0,10.2,27.0,1.38,132.0,106.4,39.0,96.2,11.0,Baylor,1.0
7.0,7.0,12.0,38,Creighton,BE,31,24,7,0.774,W2,13,5,0.722,17,1,6,5,1,1,6,2,0,0,0.0,0.0,2428,2162,78.3225806451613,69.74193548387096,866,1839,0.47100000000000003,302,783,0.386,394,533,0.7390000000000001,20.93,118.2,3.0,97.3,78.0,68.3,178.0,0.07200000000000001,23.0,10.72,21.0,2.69,81.0,107.9,18.0,97.2,22.0,Creighton,2.0
,,31.0,33,Marquette,BE,30,18,12,0.6,L3,8,10,0.444,13,3,3,8,2,1,2,5,0,0,0.0,0.0,2333,2149,77.76666666666667,71.63333333333334,759,1764,0.43,301,787,0.382,514,692,0.743,17.19,114.0,14.0,96.9,73.0,70.7,60.0,-0.046,293.0,10.78,20.0,2.13,100.0,107.6,21.0,96.9,18.0,Marquette,8.0
10.0,10.0,18.0,208,Villanova,BE,31,24,7,0.774,W2,13,5,0.722,11,3,9,3,4,1,4,4,0,0,0.0,0.0,2269,2058,73.19354838709677,66.38709677419354,797,1806,0.441,307,854,0.359,368,485,0.759,19.98,113.9,15.0,94.0,36.0,66.2,275.0,0.08199999999999999,16.0,10.88,17.0,4.22,51.0,108.2,10.0,97.3,25.0,Villanova,2.0
15.0,15.0,20.0,117,Seton Hall,BE,30,21,9,0.7,L2,13,5,0.722,11,4,8,4,2,1,4,5,0,0,0.0,0.0,2241,2037,74.7,67.9,783,1754,0.446,238,711,0.335,437,611,0.715,19.54,112.3,29.0,92.7,25.0,69.8,93.0,0.006,169.0,11.48,12.0,4.86,41.0,108.4,7.0,96.9,19.0,Seton Hall,3.0
,,40.0,125,Providence,BE,31,19,12,0.613,W6,12,6,0.667,13,3,5,6,1,3,5,4,0,0,0.0,0.0,2214,2051,71.41935483870971,66.16129032258064,764,1852,0.413,225,678,0.332,461,664,0.6940000000000001,15.0,107.8,75.0,92.8,27.0,68.4,171.0,-0.008,205.0,8.85,35.0,-1.12,217.0,106.7,37.0,97.8,37.0,Providence,7.0
23.0,23.0,25.0,167,Butler,BE,31,22,9,0.71,W3,10,8,0.556,14,3,5,6,3,0,1,5,0,0,0.0,0.0,2125,1926,68.54838709677419,62.12903225806453,776,1687,0.46,212,621,0.341,361,496,0.728,18.39,112.6,25.0,94.2,42.0,63.7,341.0,0.032,101.0,10.22,26.0,1.07,144.0,107.6,22.0,97.4,28.0,Butler,4.0
,,124.0,138,Eastern Washington,BSky,31,23,8,0.742,W7,16,4,0.8,13,2,10,6,0,0,0,2,0,0,0.0,0.0,2509,2257,80.93548387096773,72.80645161290323,913,1986,0.46,288,826,0.349,395,569,0.6940000000000001,4.32,105.4,120.0,101.1,142.0,73.1,18.0,0.121,4.0,-1.53,190.0,3.14,71.0,102.0,185.0,103.5,197.0,E. Washington,15.0
,,140.0,10,Winthrop,BSth,34,24,10,0.706,W5,15,3,0.833,12,4,10,6,2,0,1,1,0,0,0.0,0.0,2765,2431,81.32352941176471,71.5,980,2120,0.462,322,931,0.34600000000000003,483,760,0.636,2.65,104.7,136.0,102.1,169.0,71.9,36.0,-0.044000000000000004,292.0,-8.04,336.0,3.54,65.0,99.9,274.0,107.9,351.0,Winthrop,16.0
25.0,25.0,23.0,50,Iowa,B10,31,20,11,0.645,L2,11,9,0.55,14,2,4,8,2,1,7,5,0,0,0.0,0.0,2410,2241,77.74193548387096,72.29032258064517,842,1868,0.451,244,703,0.34700000000000003,482,643,0.75,18.65,117.3,5.0,98.6,97.0,70.2,77.0,0.005,172.0,12.28,4.0,2.4,93.0,108.6,3.0,96.3,13.0,Iowa,7.0
9.0,9.0,7.0,78,Michigan State,B10,31,22,9,0.71,W5,14,6,0.7,12,3,7,4,3,2,7,4,0,0,0.0,0.0,2353,2007,75.90322580645163,64.74193548387096,845,1833,0.461,239,687,0.348,424,565,0.75,24.03,115.2,10.0,91.2,13.0,69.1,130.0,-0.012,217.0,12.04,7.0,1.83,109.0,108.6,5.0,96.5,14.0,Michigan St.,3.0
,,26.0,77,Penn State,B10,31,21,10,0.677,L3,11,9,0.55,15,3,5,6,1,1,4,3,0,0,0.0,0.0,2327,2114,75.06451612903227,68.19354838709678,832,1931,0.431,249,765,0.325,414,598,0.6920000000000001,17.91,110.3,43.0,92.4,23.0,70.9,54.0,0.013999999999999999,149.0,10.72,22.0,-4.2,304.0,108.1,11.0,97.4,29.0,Penn State,5.0
,,16.0,160,Michigan,B10,31,19,12,0.613,L1,10,10,0.5,11,5,4,7,4,0,4,6,0,0,0.0,0.0,2326,2116,75.03225806451613,68.25806451612904,861,1864,0.462,247,729,0.33899999999999997,357,498,0.7170000000000001,20.12,113.2,20.0,93.0,28.0,68.7,150.0,-0.048,301.0,12.79,1.0,2.0,105.0,110.2,1.0,97.4,27.0,Michigan,7.0
,,34.0,132,Indiana,B10,32,20,12,0.625,W1,9,11,0.45,15,4,2,8,3,0,5,4,0,0,0.0,0.0,2286,2135,71.4375,66.71875,812,1825,0.445,176,540,0.326,486,716,0.679,15.73,108.5,65.0,92.7,26.0,67.9,206.0,0.016,143.0,10.71,23.0,-0.6,198.0,108.3,8.0,97.6,35.0,Indiana,10.0
21.0,21.0,30.0,107,Illinois,B10,31,21,10,0.677,W1,13,7,0.65,15,3,6,6,0,1,3,6,0,0,0.0,0.0,2239,2024,72.2258064516129,65.29032258064517,811,1831,0.44299999999999995,175,566,0.309,442,607,0.728,17.23,110.9,38.0,93.7,35.0,66.0,288.0,0.022000000000000002,123.0,10.38,25.0,-5.83,333.0,107.7,20.0,97.3,26.0,Illinois,6.0
19.0,19.0,8.0,163,Ohio State,B10,31,21,10,0.677,L1,11,9,0.55,16,2,4,7,1,1,6,4,0,0,0.0,0.0,2234,1951,72.06451612903227,62.935483870967744,753,1690,0.446,261,700,0.373,467,621,0.752,22.23,114.3,13.0,92.0,19.0,66.2,280.0,-0.038,280.0,11.1,16.0,-1.31,225.0,108.0,15.0,96.9,20.0,Ohio St.,5.0
,,24.0,203,Purdue,B10,31,16,15,0.516,L1,9,11,0.45,11,5,4,8,1,2,5,6,0,0,0.0,0.0,2114,1942,68.19354838709678,62.645161290322584,780,1867,0.418,223,675,0.33,331,482,0.687,18.57,109.3,50.0,90.8,11.0,64.6,333.0,-0.10400000000000001,342.0,12.19,6.0,2.78,77.0,108.4,6.0,96.3,12.0,Florida St.,2.0
17.0,17.0,22.0,222,Wisconsin,B10,31,21,10,0.677,W8,14,6,0.7,15,1,6,6,0,3,5,3,0,0,0.0,0.0,2082,1927,67.16129032258064,62.161290322580655,730,1718,0.425,269,764,0.35200000000000004,353,462,0.764,18.95,110.8,40.0,91.9,17.0,63.7,342.0,0.031,102.0,11.74,10.0,1.61,120.0,108.7,2.0,96.9,21.0,Wisconsin,5.0
,,106.0,85,UC Irvine,BW,32,21,11,0.6559999999999999,L1,13,3,0.813,11,2,8,7,2,2,0,1,0,0,0.0,0.0,2367,2087,73.96875,65.21875,888,1878,0.473,198,559,0.354,393,532,0.7390000000000001,6.11,105.4,121.0,99.3,109.0,67.7,212.0,-0.064,319.0,-2.29,212.0,2.91,75.0,101.1,230.0,103.4,192.0,UC Irvine,14.0
